comments,emotional_label
gurra baasani budoota kana isheen nu goote irranfanna,5
kabajamoo obboo lammaa magarsaa waaqayyo umurii dheeressuu ati hoogganaa cimaa jaalatamaa jaarra 21 ffaa ti,3
lammaa abbaa seenaa jiraadhu kunis ifaaje qeerroo jawaari ati maandeellaa baayee si jaalanna gara fuulduraattis abdii guddaa sirraa qabna,3
kabajamoo obboo lammaa magarsaa jiraadhu qabsoo kana asiin gahe sumadha ammalle uummata oromoo biratti jaalalaa kabaja guddaa qabda,3
baga gammaddan baga gammanne ilmaan oromoo hundinuu amma fulduratti duubatti deebiun hin jiru,1
lammaa magarsaa galanni isaa odeeffamee hin dhumu umurii dheeradhu,3
baga gammanne baga gammaddan isiin jennaa bua fiddan deebiee baga gammaddan isiniin jedha,1
obboo lammaa magarsaa galata guddaa uummata oromoo biraa qabda waggaa kuma jiraadhu,3
galatoomi kabajamoo obboo lammaa magarsaa ati onnee oromoo hundaa jirta,3
saba lammii baga gammaddan rabbiif galanni gahu jalqaba kana gammanne dhumaatti gammachuu bara baraa godhu waaqayyo,1
umurii dheeradhu obboo lammaa magarsaa gootaa oromoof oromiyaa,3
dhugaadha haraatti gammadee gammachuu darbees haratti booee hin beeku,1
obboo lammaa magarsaa ati dhuguma leenca jiraadhu ammas umurii dheeradhu,3
jawaar jawaar jawaar abbaa qeerroo leencaa umurii dheeradhu,3
lammaa leenca lammii jiraadhu,3
galatoomi lammaa baayee gooteetta jiraadhu,3
obboo lammaa jiraadhaa umuriin dheeratu,3
lammaa umurii nuu dheeradhu leenca,3
lammaa keenyaa leenca oromoo umurii dheeraa jiraadhu,3
kabajamoo obboo lammaa magarsaa jiraadhu hedduu si jaalanna,3
obboo lammaaf kabajaa jaalala guddaa qabna,3
lammaa lammii baayee si jaallanna goota sanyii,3
baayee si jaalanna hundi dhamaatii yaa lammaa magarsaa umurii jiraadhu,3
baga gammanne hundi,1
lammaa jabaa dhiiraa jiraadhu nama onnee guutuu qabu,3
baayee baayeen gammade ammallee harka wal qabadhaa,1
baga gammaddan uummata oromoo,1
baga gammanne uummatni oromoo hundi,1
kabajamoo obboo lammaa magarsaa galataa jaalala guddaa uummata uummata balaa biraa qabda,3
baga gammanne oromoo oromiyaan,1
baga gammaddan baga walumaan gammanne,1
baga gammadan baga gammanne uummanni oromoo deeggartoonni dr abiyyi,1
lammaa ilma leeqaa jiraadhu,3
lammaa leenca sin jaaladha onnee,3
jiradhu lammaa,3
lammaa magarsaa ati goota jiraadhu,3
buaa baga gammadde nu gammachiifte lammaa magarsaa,1
goota sanyii oromoo jiraadhu,3
obboo lammaa baga oromoo taate goota goota guyyaa xiiqii,3
galatoomaa baayee gammanne,1
baga gammaddan gammannee jirra,1
ati leenca umurii dheeraa jiraadhu,3
lammaa magarsaa goota,3
baga gammaddani oromoo gammadeera,1
baga gammanne oromoo,1
gammannee gammadaa oromoo,1
baga gammanne baga gaammaddani uummanni oromoo hundi,1
jiraadhu goota,3
baga gammadde oromoon hundi,1
baga gammanne oromoo,1
naaf jiraadhu lammaa lammii,3
kabajamoo obboo lammaa magarsaa guddaa galatoomi baayee si jaallanna,3
jiraadhaa ijji hamtuun hin argiin waaqayyo waliin tau,3
baayeen gammade baga gammaddan sabni oromoo hundi keessanuu,1
dhiira oromoo gammachuun daangaa hin qabu,1
obboo lammaa magarsaa baayee galatoomaa hundi qabsoo keessanii,3
lammaa lammaa lammaa baga dhalatte baga jiraatte leencaa oromiyaa,3
nuus gammaachuu hangana hin jedhamnetu dhagahame,1
baga gammanne baga gammaddan hundi keessanuu oromoo kiyya,1
nu gammachiiftanii gammadaa hooggantoota sabaa,1
lammaa magarsaa gafarsaa jiraadhu,3
baga gammaddan oromoon hundi baga gammanne,1
lammaa umurii dheerdhu dr abiyyi atis jiraadhu,3
kabajamoo obboo lammaa jiraadhaa,3
qeerroo jimmaa baga gammanne ilma keetu biyya hogganuuf filamee,1
gammadeera baga gammaddan lammii,1
baga gammanne oromoon hundi,1
lammaa abbaa qeerroo oromoo onnee jirta,3
lammaa magarsaa jiraadhu,3
jiraadhu kabajamoo obboo lammaa umurii dheeradhu,3
jiradhu goota oromoo,3
galatoomii jiradhuu baayee si jaalanna,3
leenca jiraadhu,3
gammanne baga gammaddan,1
baga gammadde oromiyaa,1
baga gammaddan lammi,1
obboo lammaa magarsaa jiraadhu,3
baga gammaddan oromoon hundinuu dr abiyyi baga gammadde,1
jiraadhu dr abiyyi baga gammadde nutis siif gammanneerra,1
baga gammanne sabni oromoo hundi,1
baga gammanne walumaan kabajamoo obboo lammaa magarsaa uummatni oromoo hundi bara hojii gaarii siif hawwina,1
kaayyoon dr abiyyi faarsuu hin taane gaafa hojii gaarii hojjate baayee gammaanna,1
baga gammanne amma dubbattan kana hojiirra oolchitanii gammachuu fufsiiftan,1
gammanneerra oromoo hin jarjariinaa waanti hundi ammuma maaf hin sirroofne jettanii mormuu hin taane obsaan hojii hojjatamu ilaalla,1
kabajamoo obboo lamma magarsaa ija oromoo maraa jabaadhu kabaja guddaa siif qabna,3
jiraadhaa oromoo gara laafessa goota uummata haammata jaalalaa,3
gammannee gammadaa ilmaan oromoo gara fulduraa rabbi nu gargaaru,1
jabaadhu sabboonaa oromoo lammaa magarsaa hojii keetiin si jaalanna gara fuuldurattiis hojii uummata boonsu hojjattu shakkii hin qabnu hogganaa uummataa,3
baayee bareeddu fufaa sanyii taaddee birruu,3
jawaar hattuudha fakkeessituu abbaan qeerroo bilisummaa oromoo abowbo dha,5
gammadeera baga gammaddan lammii,1
jawaar ija oromoo hundaa si jaalanna,3
jabaadhaa diqaalaa tigiree balleessa finfinnee keessaa,5
baga gammaddan oromoon kiyya bakka jirtan maratti baayee gammadeera,1
kabajamoo obboo lammaa magarsaa umurii dheeraa jiraadhu saba lubbuu isaati si jaalatu,3
aboo umurii dheeradhu beekaa,3
kabajamoo obboo lammaa magarsaa teessoon onnee uummata guddaa uummata oromoo jiraadhu,3
lammaa baayeen si jaaladha,3
lammaa galata guddaa qabda jiraadhu si jaalanna,3
jiraadhu leenca lammaa magarsaa,3
baga gammanne baga gammaddan saba keenyaa,1
baga gammaddan baga gammanne walumaan,1
maal jedheen si waama jechatu natti xiqqaata ati goota goota caalu,1
baga gammanne uummata oromoo,1
baga gammadde nu gammachiifte umurii dheeraa jiraadhu rabbi si waliin tau uummata oromoo oolii buli,1
baga waliin gammanne yeroon jedhu gammachuu guddaatu natti dhagahama,1
saba oromoo baga gammanne,1
baga gammaddan baga gammanne oromoo saba guddaa,1
baga gammanne oromoo,1
baga gammaddan,1
baga gammanne baga gammaddan oromoon hundi,1
baga gammanne,1
leenca bosonaa oromoo lammaa nama guddaa si jaalanna,3
oromoo bakka jirtanitti hudinuu baga gammaddan baga gammanne kanumaan fufaa,1
baga gammaddan saba gammachuu fiixa bahu godhu waaqayyoo,1
baguma dhalatte jabaadhu goota,1
baga gammanne oromoo waaqayyoof galanni tau gammachuu kana nu agarsiiseesf,1
baga gammaddan baga gammanne,1
lammii baga gammaddan baga gammanne,1
baga gammaddan yaa oromoo,1
baga gammaddan baga gammanne oromoon hundi,1
baga gammanne oromiyaa guutuuf gammachuu guddaadha,1
baga gammaddan baga gammanne oromoo saba,1
lammaa jiraadhu onnee jirta,3
lammaa magarsaa goota goota caalu,3
baga gammaddan obboo lammaa nu gammachiiftan,1
leenca sanyii mootii jiraadhu waggaa kuma,3
jiraadhu leenca kiyya,3
lammaa leenca namaa baayee si jaalanna,3
baga gammaddan hundi,1
baga gammaddan,1
rabbii umurii dheeressu lammaa nama jaalalaa,3
baga gammaddan ilmaan oromoo saba guddaa na gammachiiftan,1
oromoo baga gammanne baga gammaddan,1
jawaartu asiin nuu gahe galatoomi abbaa oromoo abbaa qabsoo,3
lammaa magarsaaa jiraadhu umurii dheeraa siif hawwa,3
lammaa magarsaa dhugaadha maqaasaa lammiidha jiradhu si jaalanna,3
hundi keessanuu galatoomaa tokkummaa keessantu kana fide hoggaantoota dhugaa,3
sanyii gootaa namni shoora kana hundaa taphate lammaa magarsaa baayee si jaalanna,3
dhugaa dubbachuuf gaazexeessaan akkanatti quuqama uummataa qabu badhaafamuu qaba kabaja guddaatu malaaf,3
tokko tokko kaballaa cufiitii amansiisi maaloo hattuuwwan kana,5
anuwaar jamaal galatoomi jabaadhu si hordofaa jirraa jabaadhu,3
ilma leencaa uummata dhalate garaa miti guddaa galatoomi jiraadhu,3
keessaa naqi namichi ni sobaa nama miidhe kuni bineensa maallaqa namaa nyaachaa ture,5
oromoon goota gurguddoo ijoo tokko dhabde waaqayyo lubbuu isaanii jeennatatti tiksu,4
baayee nama gaddisiisa waaqni saba oromoo maraaf jajjabina kennu,3
waaqayyoo lubbuu isaanii jeennataa taasisuu nagaan boqodhu gameessa,4
boola isaanii daadhiin guutu abbaa araaraa seenaa yaadannoon ati uummata oromoo itoophiyaa guutuu qabdu yoomiyyuu si yaadata,4
nama gudda tokko dhabne boola isaanii dhaadhiin guutu,4
lubbuu isaaniitiif jeennata uummata oromoo maraaf jajjabina hawwina nagaan boqodhaa,4
abbaa gadaa jabaa naatoo qabeessa galmee seenaa sirna gadaa oromoo taan abbaa gadaa duraanii doktora kabajaa aagaa xeenxanoo dhabuun baayee nama gaddisiisagaruu maal godhu waaqatuu jaalatee fudhate taeef lubbuu isaanii jeennataan qananiisu oromoo maraaf jajjabina kennu,4
hayyuu guddaa dhabne nagaan boqodhuu hayyuu maal siif goona,4
nama guddaa oromoon qabdutu boqotekitaaba seenaa guddaatu gubate firoottanii uummata oromoo hundaaf jajjabina kennubiyyoon salphatu,4
waaqni uummata keenyaaf jajjabina kennu,4
abbaa gadaa aagaa dhabuun gadda laphee nama cabsutu dhagaame hayyuun seenaa guddaa uummata oromoof hojjatanii darbaniif seenaan hin dagatu firoottanii uummata oromoo maraaf jajjabina hawwina,4
abbaa gadaa gujii duraanii duaan boqochuu isaanii dhagaheen baayee gaddi natti dhagahame nama guddaa uummanni dhabeera maatii firoota isaaniif jajjabina hawwina isaaniif waaqayyo jeennata kennu,4
waaqayyo lubbuu isaanii jeennataan qananiisu uummata oromoo hundaaf jajjabina kennu,4
baayee baayee nama gaddisiisa waaqayyo lubbuu isaanii maaru,4
nagaan boqodhu hayyuu maatii firrootaniif jajjabinaa hawwina,4
gaddaa guddaa dhagaame hayyuu akkanaa dhabuun boola daadhiin guutu haceetti nagaa dhaami,4
nama gaddisiisa dhugaa waaqayyo lubbuu maaru nagaan boqodhaa,4
nama guddaa hunda biratti jaalatamaa waaqayyo lubbuu jeennataan qananiisu gadda guddaatu dhagahame,4
nagaan boqodhu hayyuu beekaa gorsaa maal siif goonaa mitii,4
waaqayyo lubbuu isaanii nagaan boqochiisu jenna maal jenna ree kana,4
lubbuu isaa waaqni maaru nagaan boqodhu abbaa gadaa aagaa xiinxanoo maal isiniif godhuree,4
doktora nagaan boqodhu lubbuu waaqayyo teessoo mootummaa isaa qananiisu,4
abbaa gadaa aagaa xiinxanoo boqochuu isaanii dhagahee hedduun gadde duuti hin ooltu maal isiniif godhuree,4
oromoon hayyuu guddaa tokko dhabde abbaa araaraa biyya keessaa alaa nagaan boqodhu doktora guddaa,4
abbaa gadaa aagaa xiinxanoo abbaa jaalalaa nageenyaa nagaan boqodhaa lubbuun jeennata seentu,4
waaqayyoo lubbuu isaanii jeennata taasisu,4
waqayyoo lubbuu isaanii maaru maatii isaanif jajjabina kennu,4
hayyuu tokko dhabne nagaan boqodhu,4
gadda laphee uummata oromoo cabse dha biyyoon isatti salphatu,4
maal goona mootii leenca aagaa dhabuun baayee ana gaddisiisa jajjabaadhaa,4
nagaan boqodhu jaarsa biyyaa,4
sirna gadaa duudhaa oromoo addunyaa irratti nama galmeessise nama kana dhabuun garaa nama nyaata biyyoon salphatu gorsaa eessaa barbaannee arganna nagaatti,4
gadda guddaatu natti dhagaame nama guddaa dhabne,4
nagaan boqodhuu abbaa gadaa uummata oromoo maraaf jajjabina hawwa,4
hayyuu gaaddisa guddaatu nurraa qaarie gaddatu mana guute,4
boola isaanii daadhiin guutu maatii isaatiif jajjaabina hawwa,4
nagaan boqodhu yoomiyyuu seenaan hin dagatu,4
hayyuu cimaa oromoo kana dhabuun baayee nama gaddisiisa lubbuu isaaniif jeennata kennu,4
waaqayyo gooftaan lubbuu isaanii jeennataan qananiisu,4
uummata oromoo maraaf jajjabinan hawwuu barbaada,4
nama jabaa hayyuu akkasii dhabuun nama hundaa rifachiisee gadda gaddaa oliitu natti dhagaame homaa gochuun hin dandaamu maatii uummataa hunda nama kabajamaa beekamaa akkasii dhabuun gaddan hundaaf jajjabina kennu waaqayyo,4
nagaan boqodhu hayyuu yoomiiyyuu onnee jirta,4
gadda guddaa dha nagaan boqodhaa,4
waaqayyo lubbuu isaanii maaru uummata oromoo hundaaf jajjabinaa hawwa,4
gadda onnee nu cabsee dha,4
waaqayyo lubbuu maaru,4
baayee nama gaddisiisa lubbuu isaatiif jeennata uummata oromoo maatii isaatiif jajjabina hawwa,4
abbaa gadaa dhugaa nagaan boqodhaa,4
nagaan boqodhu beekaa namaa,4
eeggadha dhiiroo nafxanyaan waraabessaa nyaata,2
bara oromoon dhumaa jirutti hayyuu kana dhabuun gadda guddaatu natti dhagaama waaqayyo lubbuu isaanii jeennnataan gahuboolaa isaanii daadhiin guutu,4
wayyoo maal goonaa mitii nagaan boqodhaa,4
baayee nama gaddisiisa kanatti kana dhagauun,4
biyyeen isinitti salphatu baayee gaddine saba oromoo maraaf jajjabina hawwina,4
nama guddaa lubbuu maaru,4
nagaan boqadhaa,4
waaqayyo araara isiniif godhu,4
waaqayyo lubbuu maaru abbaa homaa siniif gochuu hin dandeenyu,4
nagaan boqodhu hayyuu,4
yaa angafticha oromoo nagaan boqodhu,4
baayee namatti tola fufa,3
gaazexeessaan qaxaleedha jabaadhu jabaa,3
reefu garaa nu geessan dhugaa kunoo cimsaa,3
keessaa naqi namichi ni soba nama miidhe kuni bineensa maallaqa nyaata namarraa,5
baga gammadde nu gammachiifte kabajaamaa drabiyyi,1
qeerroo abbootii gadaa uumanni oromoo hundaa baga gammanne gammachuu kana fiixan baasuf hojjachuu barbaachisa,1
baga gammaddan uummanni oromoo hundi baga gammanne hundi,1
kabajamoo obboo lammaa hayyuu jawaaritti si jaalanna qeerroon,1
dr abiyyi gammmachuu karaan ibsadhun dhabe hundaafuu bara hojii gaarii leenca,1
baga gammadde dr abiyyi muummee itoophiyaa tauu keef gammannee jirra uummanni oromoo itoophiyaa hundinuu baga gammaddan bara hojii gaarii isaaniif hawwa,1
lubbuun jirruu sadarkaa kana gahuu keenyaaf gammachuu guddaatuu dhagahama,1
baga gammaddan leenca oromoo baga gammanne galatoomi ibsaa jechoota hayyuutiin fayyadamtee nu gammachiisuu keetiin,1
obboo jawaar mohaammad obboo lammaa hedduu galatoomaa jiraadha buaan hundi hojii keessani ammalle baayee jaalannna,3
baga gammadde mootee nu gammachiifte,1
leenca leenca dhalate jechaa gochi isaa wal fakkaatu baga dhalatte jiraadhu baayee si jaalanna,3
baga gammanne ilmaan oromoo hundi keessanuu,1
yaanni dr abiyyi ahimad hedduu nama gammachiisa yaadni isaanii,1
baga gammadde obboo lammaa magarsaa nu gammachiiftee,1
baga gammaddan baga gammmanne oromoon hundi,1
warra darbee haasaa qofa hin godhin baayee gammanneerra dhugaa,1
kabajamoo muumicha ministeera itoophiyaa dr abiyyi ahimad baga gammadde nus gammachiifte nutillee gammannee jirra,1
baga gammaddani ilmaan oromoo hundi keessanuu baayee gammadeera,1
baga gammanne baga kiiloo 4 seenne,1
guyyaan haraa ilmaan oromoof guyyaa gammachuu addaati hammam geenyu guyyaa diinota murna nu tuffatanitti ifa goonedha,1
baga gammanne,1
baga gammaddan baga gammanne hundi itoophiyaan gara boqonnaa haaraattti ceeti jedheen amana kana ilaalchisee kabajamoo pirezdaantii mootummaa naannoo oromiyaa obboo lammaa magarsaaf galatan qaba,1
baga gammanne birmadummaa tokko jenne ija keenyaan argine,1
waaqayyoo umurii dheeraa siif kennu sanyiin gootaa gootuma leenca,3
baga gammanne rabbi nu hin qaanessine diina nu aanseera,1
baga gammaddan ilmaan oromoo,1
baga gammanne uummanni oromoo uummanni itoophiyaa,1
baguma guyyaa gammachuu hara kana na argisiifte uumaa,1
baga gammanne oromoon hundi,1
baga gammanne uummanni oromoo deeggartoonni hunduu,1
baga gammanne ilmaan oromoo ammalle hafe rabbi nuu agarsiisu,1
baga gammaddan oromoo lammiii,1
dr abiyyi baga nu gammachiiftee jirta uummata keetiif dhaabbattu si amanna,1
dr abiyyi jaalalli nu maraachisaa jira,3
lammaa magarsaa baga gammaddee nu gammachiifte,1
gammachuun dhumaatti tau,1
baga gammadan baga gammanne oromoo,1
baga gammanne saba,1
abiyyi leenca na gammachiifte baga gammadde,1
jiraadhu leenca,3
gammannee gammadaa oromoo,1
baga gammaddee dr abiyyi baayeen siif gammade,1
baga gammanne ilmaan oromoo,1
baga gammanne hundi,1
rabbi si waliin jiraatu baga gammaddee nu gammachiifte,1
baga gammaddan ilmaan oromoo hundi,1
dr abiyyi ahimad baga gammadde baayee nu gammachiifte,1
baga gammanne oromoo kiyya,1
baga gammadde oromoo,1
akkana kunoo maaluman siif taa,1
baguma gammanne oromoo kiyya,1
baga gammaddan qeerroo oromoo,1
baga gammanne oromoo kiyya baayeen gammade,1
baga gammaddan lammaa magarsaa dr abiyyi ahimad baayee nu gammachiiftan,1
baga gammanne uummata oromoo,1
jiraadhu umurii dheeradhu sanyii,3
baga gammaddan lammii gammachuu fufu tau,1
baga gammaddan,1
baga gammaddan oromoo,1
baga gamaddee nu gammachiifte bara hojjii gaarii siif hawwa,1
baga gammaddan baga gammanne,1
leencaa jabaadhu silas waanta hundatu sirraa bareeda baayeen si jaaladha,3
baga gammanne saba guddaa gammachuu wal hin cinne godhu,1
sagaleen baayee namatti tola baayeen si jaaladha,3
baga gammaddan yaa oromoo,1
baga gammaddee na gammachiifte gammachuu humnaa olii,1
baayee nama gammachiisa,1
nu gammachiiftee waaqayyo si gammachiisu sabaaf nama dhaabbatu si godhu,1
gammannee gammadaa lammii,1
leenca oromoo jiraadhu,3
baayee gammanne,1
baga gammaddee nu gammachiifte dr abiyyi,1
baga gammaddan lammiin hundi,1
kabajamoo obboo lammaa magarsaa bara baraan jiraadhu baayee si jaalanna,3
baguma gammadde harmee oromoo garaatu nu ciise,1
qeerroo oromoo baga gammaddan,1
lammaa baga gammaddee na gammachiifte,1
baga gammanne oromoo,1
baga gammaddan baga gammanne,1
baga gammaddan yaa oromoo,1
baga gammaddan oromoo,1
baga gammadde drabiyyi ahimad baga walumaanuu gammanne,1
oromoo baga gammaddan,1
baga gammaddan oromoo,1
dr abiyyi baga gammadde nu gammachiifte jirta,1
baga gammaddan uummanni oromoo marti,1
gammachuu kiyya kana uummata oromoo maraaf ibsuu barbaada,1
baga gammaddan baga gammanne,1
gammachuu guddaa jira,1
baga gammanne,1
si jaalanna nu boonsite,3
baga gammaddan oromoo,1
baga gammanne baga gammaddan uummanni marti,1
baga gammaddan oromoo,1
baga gammaddan baga gammanne,1
gammadeera oromoo,1
baga gammanne oromoon hundi,1
baga gammaddan oromoo,1
baga gammaddan oromoo gammachuu kana waaqayyo nurratti irraanfatu,1
baga gammanne ilmaan oromoo alaa jirtan hundi,1
baga nu gammachiise waaqayyo,1
gadaan muuda baga gammaddan baga gammanne,1
lammaa magarsaa galaatoomuu yoomillee abbaa oolmaa baayee si jaalanna jiraadhu umurii dheeraan siif hawwa,3
uummanni oromoo baga gammaddan,1
baayee baayeen gammade,1
baga gammanne baga gammaddan ilmaan abbaa gadaa madda gammachuu keenyaa taan,1
aboo baayeen gammade,1
baga gamaddan lammii,1
oromoon baga gammaddan,1
baayee gammanne miira kiyya toachuu hin dandeenye,1
baga gammanne baga gammadde,1
baga gammadde baga gammanne,1
baga gammanne baga gammaddan uummanni biyyaa marti,1
baga gammaddan,1
baga gammaddan baga gammanne,1
jaalanna,3
sagaleen hayyuu namatti tolaa,3
baga gammanne oromoo saba,1
baayee nu gammachiise,1
baga gammaddan oromoo,1
na gammachiifte goota oromoo baga gammadde,1
gammadeera baga gammanne uummanni oromoo marti,1
guddaa galatoomaa nu gammachiiftanii uummanni oromoo hundi baga gammaddan,1
baga gammaddan lammii anaan gammachuu daangaa hin qabnetu natti dhagahame,1
baga gammanne baga gammadde doctar baayee nu gammachiifte,1
baga gammaddan baga gammanne qeerroo oromiyaa,1
baayee si jaalanna jiraadhu,3
baga gammaddan uummanni oromoo,1
baga gammaddan baga gammanne uummanni oromoo marti,1
baga gammaddan baga gammanne,1
gammannee gammadaa,1
baga gammadde baga gammaddan qabsoon ammas fufu,1
sabni baga gammaddan qeerroo qarreen oromoo oromiyaa baga gammanne baga gammaddan,1
baga gammadde baga gammanne dr abiyyi baga taate yoomiyyuu siin boonna,1
gammanne jirra gammachuu fufaa uummata biyya keenyaa hundaaf taasisu waaqayyo,1
yaa rabbi gammachuu daangaa hin qabne kana kennite nurraa hin fudhatiin,1
jabaadhaa kaayyoon nama gammachiisa,1
obboo lammaa magarsaa baga gammadde siif gammadeera,1
baga gammanne baga gammaddan uummatni oromoo hundi,1
gammannee gammadaa oromoon hundi hara guyyaan,1
waaqayyo siin eegu jarittiin bofa adaraa of eegaa qomoo,2
baga gammanne uummanni oromoo uummanni biyya keenyaa hundi,1
baga rabbi guyyaa gammachuu kanaan gahe baga gammanne,1
dhugaa hedduu gammanne jiraadhaa lammii,1
baga gammanne ilmaan oromoo hundinuu,1
oromoo hundi baga gammaddan baga gammanne,1
baga gammaddan uummata oromoo maraaf gammachuu daangaa hin qabne dha,1
baayeen gammade baga gamaddan,1
baga gammaddan hundi waaqayyoo nu gargaareera,1
baga gammanne saba guyyaa kana nu agarsiise waaqayyoof galatu,1
baga gammaddan oromoon martuu haraa gammadee hin beeku,1
baga guyyaa gammachuu kanaan nu gahe waaqayyo gammachuu fufu taasisu,1
baga gammanne ilmaan oromoo,1
hara baayeen gammade oromoo galata rabbii,1
baga gamadde leenca baayee nu gammachiifte gammachuu daangaa hin qabne,1
baayee sitti gammadeera leenca sanyii mootii abbaa jifaar,1
jiraadhu leenca si waliin jirra baayee si jaalanna,3
baga gammadde baga gammanne,1
haalaan nama gammachiisa dhugaa kuni,1
baga gammaddan oromoo,1
baga gammanne oromoon hundi,1
baga gammanne ilmaan oromoo hundi,1
qeerroo oromoo baga gammaddan gammachuu daangaa hin qabnetu natti dhagaame,1
baga gammanne oromoo,1
baga gammadde baga gammanne,1
baga gammanne lammii baayeen gammade,1
baga gammaddan oromoon hundi baga gammanne,1
baga gammadde baga gammanne,1
baga gammanne uummanni itoophiyaa hundi,1
oromoon hundi baga gammaddan baga gammanne,1
baga gammanne ijoollee oromoo,1
anaan anaan aayyoo anis siif duu,4
uf gubannee dhugaa rabbii garaan nu gubate maal wayya waaqayyoo dhumaatii saba keenyaa callista,4
wayyoo oromoo baayee nama gaddisiisa,4
wayyoo garaan nu gubate teenyee imimmaan dhangalaasuu fala hin qabnu yaa rabbi ati furmaata fidimee,4
wayyoo garaan na gubate dhumaatii lammii akkamiinan obsa,4
wayyoo haadha garaa nama nyaatu maaloo maaloo baayeen gadda,4
wayyoo abbaa dhugaa rabbi siniif barbaadu baayeen gadde,4
wayyoo yaa saba,4
wayyoo haadha ana nyaatu,4
quotkana arguurra duuu wayya warri due obbaafate warra taaee kana ilaalutu jiraatti raatuu maraatuu taaquot jedhe haceen dhugaa gooftaa lapheetu na cabe lapheetu na dhiige gara jabummaan akkanaa eessaa dhufe uummanni maal balleesse baayee nama gaddisiisawaaqayyo imimmaan qoorsu,4
baayee nama gaddisiisudha,4
uf yaa uummata qaalii maalan siniif godha gadda guddaatu natti dhagahame,4
nan gubadhe haadha maalan siif godha,4
ana nyaatu lammii,4
imimmaan coccobe kana waaqayyo madaallii isaatiin isiniif safaru maal jennaree baayee nama gaddisiisa,4
nama dhukkuba waaqayyo isiniif lolu lafti iyyannus iyyinus hin jiru,4
uf gubanne lammii waaqayyo maaloo hin dhiisin,4
anaa nyaatu lammii maalan siif taa anoo gubadhee,4
anaa nyaatu lammii,4
garaan na gubateen taaee gadda maalan siniif godha qomoo humnan dhabe,1
wayyoo imimmaan abbaa arguu caala maaltu nama gaddisiisa laphee kiyyatu na cabe,4
uf oromoo garaan na gubate maaloo,4
nama gaddisiisa,4
anaan abbaa waanan siif godhun wallaale baayeen gadde dhugaa,4
ayii deessee imimmaa harmee akkasitti argee gubachuu addunyaa kana boqochuu wayya gocha baayee nama gaddisiisudha,4
bakka siif boou haadha baayee nama gaddisiisa,4
wayyoo harmee waaqayyo ibidda kana ati dhaamsi,4
anaan harmee,4
uf kana dhagahuu caala waanti sammuu hadooche hin jiru anaa jaamsu,4
baayee nama gaddisiisa,4
wayyoo harmee anaa boochisu akkanatti haadha baayeen gadde,4
anaan lammii nama dhukkuba waaqayyo jira saba bara hamaa kana inuma nurra dabarsa,4
wayyoo baayee nama gaddisiisa waaqayyo abbaa dhugaa adaraa firdii laadhu ati,4
ija keenyaan dhiiga kana ilaaluu dadhabneerra gahe jedhikaa yaa waaqayyo gaddi nurra dheeratee jiraa,4
anaan harmee kootu na gubate,4
garaa nama madeessa,4
wayyoo haadha nu maraache gochaan badaan saba irratti godhamaa jiru baayee nama gaddisiisa,4
baayee garaa nama nyaata oromoo,4
baayee nama gaddisiisa dhugaa,4
namni namummaa qabu kana dhagahee garaan hin gubanne jiraate sirumaa garaa hin qabne maaluma jennagaa,4
wayyoo lammii siif hin malu ture baayee nama gaddisiisa,4
anaan haadha hiree keenyatu kana tae baayee nama gaddisiisa gammaduu qabdutti gochaa suukaneessa keessummeessa jirta baayeen gadda,4
wayyoo haadha siif taa onnee kootu na cabe,4
wayyoo lammii anaa nyaatu waanan siif godhun wallaale,4
wayyoo oromoo garaatu nu gubate,4
jabaadhu harmee gaddi gadda gaddaa oromoo maraati gadda hamaa jirra,4
anaa nyaatuu lammii dhiiga lapheetu nu cabe mataatu lafa nu ilaale,4
garaa nama nyaata gochaan suukaneessa saba irratti raawwachaa jiru,4
anaa nyaatu haadhoo,4
wayyoo saba bilisummaaf aarsaa kaffalaa turte amma gochaa hammeenyaa sirratti raawwachaa jiru gadda guddaatu natti dhagaama,4
haadhaa maal siif godhu keenyaa baraa darbaa dhufaan boicha gadda irratti gadda furmaata waaqa uumaa qofa eegganna,4
wayyoo baayee nama gaaddisiisa,4
wayyoo abbaa anaan,4
wayyoo lammii gadda hamaa jirra,4
anaan harmee,4
anaan giiftii maal isiniif goona teenye imimmaan gaddaa roobsina kunoo,4
anaan maanguddoo baayee nama gaddisiisa boquu nama cabsa,4
haadha siif godhun dhabe rabbi imimmaan qoorsu baayee nama gaddisiisa,4
anaan haadha deesse maalan siif godha,4
wayyoo salaale biyya gootaa siif hin malu ture baayee nama gaddisiisa gochaan isinirratti taaa jiru kuni,4
garaan na gubate wayyoo haadha siif godhun dhabe baayeen gadde,4
anaan lammii siif gubadhu garaan na gubate,4
wayyoo harmee,4
baayee nama gaddisiisa,4
imimmaan qabachuu dadhabe garaan na gubate,4
wayyoo yaa lammii garaan na gubate,4
baayee nama gaddisiisa,4
anaan anaan harmee,4
baayee nama gaddisiisa gochaan uummata irratti taaa jiru haamileetu nu cabe onnee keenyatu nu bue,4
wayyoo haadha harmee deessee siif dhabamu,4
waaqayyo imimmaan lafa hin buusiin harmee garaa nama nyaata gochaan isinirratti tae,4
garaan nu gubate,4
rabbi lafa balleessu warri badhaadhina faarsitan uummanni lafa duguugamaa jiru,5
anaan harmee deessee siif godhun dhabe kootu na cabe,4
anaan harmee,4
anaan harmee,4
anaan haadha siif godhun dhabe deesse,4
